word,meaning,s1,s2,s3,s4,s5
benign,kind.,"when the doctor said my tumor was benign, i was so happy.",the medicine is benign in its effects and will cause you no harm.,"since i meant no harm with my words, i beg you to forgive my benign statement.",the eco-friendly company will only drill for oil in areas where its practices are benign.,"even though the company claims the energy drink is benign, you may experience some unwanted side effects after drinking the beverage."
refractory,stubbornly resistant to authority or control.,"to make his life easier, the store owner decided to fire the refractory workers who were difficult to manage.",most teenagers go through a refractory phase where they don’t want to listen to authority figures.,how long do you think it will take the trainer to tame the refractory dog?,the refractory students spend a great deal of time in the detention room.,"because the prisoner acts in a refractory manner, he is accompanied by four guards whenever he leaves his cell."
appreciable,large enough to be noticed (usu.,"after providing her medical records, the young student’s appreciable impairment was taken seriously now from her teachers.","using an appreciable test, the scientists could fully use the information from it since it would contain the most valid and reliable results.","since the investor only participated in appreciable business ventures, he always knew he would make money off his investments.","with an appreciable increase in the workload, many employees left the company due to the excessive mandatory overtime.","due to the popularity and demand for the lucky click toys, an appreciable increase in sales would make the company’s stock to be the highest amount ever."
chicanery,the use of tricks to deceive someone,let us expose that business for its financial chicanery and reveal how they waste our tax dollars.,"that republican is up to his old chicanery, blaming all democrats for the recession.","our city council is full of chicanery, telling citizens a tax increase is now necessary though this wasn't the case 2 weeks ago.",people don't trust you because of your chicanery.,you can smell the chicanery from a dishonest politician.
peccadillo,(n) small sin or fault,"because josh had grown tired of patty’s criticism of every little peccadillo, he asked her for a divorce.","unless you’re perfect, you should never complain about a peccadillo of someone else.","when i tried to apologize, jean just laughed and told me that it was just a small peccadillo and i had nothing to be sorry about.","while being fifteen minutes past curfew is just a peccadillo, coming home at dawn is a major problem and you have some explaining to do.","as a successful movie star, she assumed that the public would consider her shoplifting arrest as a minor peccadillo, but she soon found she was wrong."
equivocal,confusing or ambiguous.,"since the defendant’s alibi is equivocal, the jury will disregard it almost instantly.",the scientist’s theory is equivocal and has not been proven in a lab experiment.,"although i watched the entire film, i was still confused by the movie’s equivocal ending that contained many unanswered questions.",the president’s equivocal explanation of the war sounded unclear to the public.,"because frank’s testimony was equivocal, the jury members had no choice but to ignore it during their deliberations."
appropriate,to give or take something by force.,her speech on retirement was appropriate for her middle-aged audience.,the appropriate use for toothpaste is for brushing teeth.,"when someone sends you a gift, the appropriate response is to thank them.","because she wanted to wear an appropriate outfit for her first day, she dressed the part of a teacher.",she wondered what the appropriate time-frame was for sending a belated wedding gift.
eminent,standing above others in quality or position.,everyone was looking forward to taking the class with such an eminent professor.,"as one of the most eminent physicists of the twentieth century, albert einstein was awarded the nobel prize in 1921.","as one of the world’s most eminent film directors, david lynch has given audiences a glimpse of places and events they would never be able to imagine on their own.","despite the fact that robin is an eminent expert on art, she would rather let her husband choose the pieces they display in their home.","for decades, walter cronkite was one of the most eminent and well-respected news anchors of any media."
puerile,of or characteristic of a child; displaying or suggesting a lack of maturity.,"since my son is thirty-three years of age, i do not find his puerile behavior amusing.",your jokes are puerile and not appropriate for a woman of your years.,"if you behave in a puerile manner during a job interview, the interviewer will think you are very childish.",the fireman was scolded for playing puerile pranks on his coworkers.,"when elaine got drunk and started to crawl around on the floor, she showed everyone how puerile she was."
entitlement,"(n) having the right to certain privileges; believing, sometimes without cause, that one deserves or has a right to certain privileges","since lily already had the puppy before her relationship with fred, she knew she had entitlement to the puppy after they broke up.","with a gun and a badge, the rookie deputy issued ten times more tickets than anybody else due to his feelings of entitlement due to his powerful position.",the spoiled girl’s sense of entitlement to any object in sight resulted in her inability to make friends.,"after experiencing a brutal beating from the school’s bully, bob’s entitlement to a safe education seemed absent to him.","because each member of her family already had at least one doughnut, karen felt an entitlement to the last glazed doughnut in the box."
iconoclast,somebody who attacks cherished beliefs or institutions.,"because jared was an iconoclast and dared to question the company’s mission, he was fired from his job.",the successful entrepreneur is an iconoclast who is not afraid to introduce something new to the market.,the church leader was deemed an iconoclast when he spoke out against his religion’s views.,"out of the twelve jurors, there was only one iconoclast who thought the defendant was guilty.","when drunk, my uncle is an annoying iconoclast who insults the beliefs of others."
uncompromising,not making concessions.,the ethical nurse was awarded an excellence honor for her uncompromising commitment to her patients during tough times.,"many of the company’s rules were rigid and uncompromising, leaving the workers to look for new jobs.","even after looking for merlin’s sword for many years, king arthur was uncompromising and refused to give up on his quest.","a steady, uncompromising faith in god gave david the strength he needed to march into battle.",the boss refused to allow employees time off and ran off all her good workers with her uncompromising attitude.
surfeit,an excessive amount of something.,we had such a surfeit of food during the holidays that we gave a large portion of it to the family across the street.,"when the store manager accidently ordered a surfeit of pencils and pens, he was unable to sell the extra items and decided to donate them to a local school.",janet made use of the surfeit of holiday lights by decorating all the trees in her front yard.,"if you need additional towels, you will find a surfeit of them in the hall closet.",please drink as much as you like because we have a surfeit of beverages in the refrigerator.
exigency,a pressing or urgent situation,"in the hot summer months, a bottle of water is an exigency if you are planning on running several miles.","although my son hates taking his medicine, it is an exigency that must be consumed for his physical wellbeing.",bill’s allergy medication is an exigency he always carries around in case of an attack.,"until my attacker is found, i consider having a bodyguard to be an exigency.",keeping money in a savings account is a financial exigency that will serve you well if you ever lose your job.
flounder,behave awkwardly; have difficulties.,the new swimmer had to flounder in the deep end until the lifeguard dragged him to safety.,"unused to skating, the rookie hockey player would flounder on the ice until he learned to skate.","after it hit the iceberg, the titanic was left to flounder in the atlantic ocean before it finally sank.","my father was afraid that i would flounder as i learned to ride a bike, so he never let go of the seat.",my ability to flounder was evident when i fell on the slippery floor.
animosity,intense hostility.,why do you have such animosity towards me when i have done nothing to you?,"during the match, the animosity between the two wrestlers was obvious.","because ellen’s father used to lock her in the basement, she has a lot of animosity towards him today.",my animosity for cliff is so great that i cannot stand to be around him.,"even though the woman had robbed him at gunpoint, jason had no animosity towards her."
demure,to be modest and shy.,my sister is too outgoing for anyone to ever accuse her of being demure.,"while helen is quite demure in her job as a librarian, at night she becomes a wild karaoke queen.","because he was nervous at the audition, biff sang in a demure voice which the judges were unable to hear.","at the party last night, iris was demure and stayed in a corner by herself.","although meryl may appear demure and quiet, she will speak out for those she loves."
colossal,so great in size or force or extent as to elicit awe.,it took twelve men to carry the colossal pie to the pie festival.,"when the colossal catfish was placed on the scale, it registered at two hundred pounds.",you should be able to see the colossal mountain peak without using binoculars.,"without a forklift, the workers won't be able to move the colossal object from the dock.",the new stadium is colossal in size and can hold nearly one hundred thousand people.
puissant,powerful.,the puissant school superintendent has the authority to close schools in the event of inclement weather.,the movie star believed a puissant person like herself should never have to wait in line.,"as a mediator, the puissant prime minister was able to get both of the leaders to agree to a peace accord.","because the dictator was puissant, he could do anything he wanted without seeking permission.","although the country is quite small, it is very puissant in the international community because of its huge oil resources."
implicate,convey a meaning; imply.,"if the evidence is found, it will implicate the person behind the brutal act.",the lab results implicate a high amount of cholesterol as the cause of my uncle’s heart problem.,"when my best friend tried to implicate me in the robbery in order to save herself, i knew we were no longer friends.",the police did not arrest the suspect because they had nothing that could implicate him in the crime.,"although the pictures appear to implicate the husband in his wife’s murder, they cannot be used in court because they were illegally obtained."
gauche,lacking social polish.,"his gauche table manners make me cringe, especially when he tries to talk with his mouth full.","because everyone assumed that he is just a typical gauche adolescent, no one believed he could have produced such a sophisticated work of art.","even though the comic’s act was crude and gauche, he filled the club to overflowing every night.","despite his promise that he would stay awake during the entire opera, carl was already producing a gauche snorting sound within fifteen minutes of the overture.","although selena made several gauche attempts to fit in with the popular crowd, at lunchtime she always found herself stuck at the table with the nerds."
