word,definition
abate,"(v) reduce, diminish"
abdicate,(v) formally give up the throne (or some other power or responsibility)
aberrant,"(adj) abnormal, deviant"
abhor,"(v) detest, regard with disgust"
abjure,"(v) give up, renounce; repudiate, recant, or shun (especially formally or under oath)"
abrasive,"(adj) rough, suitable for grinding or polishing (such as sandpaper); causing irritation or annoyance"
abridge,(v) reduce or lessen; shorten by omitting parts throughout while retaining the main idea
abstain,"(v) hold back, refrain (especially from something bad or unhealthy); decline to vote"
acme,"(n) summit, peak, highest point"
activism,"(n) the practice of pursuing political or other goals through vigorous action, often including protests and demonstrations"
adhere,"(v) stick (to), such as with glue, or to a plan or belief"
admonish,"(v) mildly scold; caution, advise, or remind to do something"
adverse,"(adj) opposing, harmful"
advocate,"(v, n) speak or argue in favor of (verb); a person who pleads for a cause or on behalf of another person (noun)"
aesthetic,"(adj, n) concerning the appreciation of beauty or good taste, pertaining to the science of what is beautiful (adj); a sense of beauty and taste of a particular time and place (noun)"
affable,"(adj) warm and friendly, pleasant, approachable"
affectation,(n) fake behavior (such as in speech or dress) adopted to give a certain impression
aggrandize,(v) make greater; exaggerate
aggregate,"(v, adj) gather together, amount to (verb); constituting a whole made up of constituent parts (adj)"
alacrity,(n) cheerful or speedy willingness
alienate,"(v) cause to become unfriendly, hostile, or distant"
alleviate,"(v) lessen, make easier to endure"
ambiguous,"(adj) not clear, hard to understand, open to having several meanings or interpretations"
ambivalent,"(adj) uncertain; unable to decide, or wanting to do two contradictory things at once"
analogous,"(adj) comparable, corresponding in some particular way (making a good analogy)"
anarchy,"(n) absence of law or government; chaos, disorder"
anoint,"(v) rub or sprinkle oil on; make sacred, such as by ceremony that includes applying oil to someone"
anomaly,(n) deviation from what is common; inconsistency
antagonize,(v) make hostile or unfriendly
apathy,(n) not caring; absence of feeling; lack of interest or concern
apocryphal,(adj) of questionable authenticity; false
arcane,"(adj) known or understood by only a few; obscure, secret"
archaic,"(adj) characteristic of an earlier period, ancient, primitive"
arduous,"(adj) very difficult, strenuous; severe, hard to endure"
articulate,"(adj, verb) using language in a clear, fluent way (adj); speak distinctly or give clarity to an idea (verb)"
artifact,"(n) any object made by humans, especially those from an earlier time, such as those excavated by archaeologists"
artless,"(adj) free of deceit or craftiness, natural, genuine; lacking skill or knowledge, crude, uncultured"
ascertain,(v) find out with certainty
ascetic,"(adj, n) abstinent or austere in lifestyle (adj); a person who leads an austere and simple like without material pleasures, esp. someone who does this for religious reasons"
assuage,"(v) make milder, relieve; soothe, pacify, or calm"
audacious,"(adj) very bold or brave, often in a rude or reckless way; extremely original"
augment,(v) make larger
austere,"(adj) severe in manner or appearance; very self-disciplined, ascetic; without luxury or ease; sober or serious"
autonomous,"(adj) self-governing, independent"
aver,(v) declare or affirm with confidence
avid,"(adj) enthusiastic, dedicated, passionate; excessively desirous"
balk,(v) refuse to proceed or to do something
